show_id,type,title,director,date_added,rating,duration,description
80238204,Movie,A Christmas Prince: The Royal Wedding,John Schultz,30-Nov-18,TV-PG,93 min,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol."
81148811,Movie,A Cinderella Story: Christmas Wish,Michelle Johnston,1-Dec-19,PG,86 min,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle."
81004748,Movie,A Family Reunion Christmas,Robbie Countryman,9-Dec-19,TV-PG,29 min,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
81073387,Movie,A Fortunate Man,Bille August,20-Apr-19,TV-14,168 min,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin."
80107084,Movie,A Futile and Stupid Gesture,David Wain,26-Jan-18,TV-MA,102 min,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s."
81147293,Movie,A Haunting at Silver Falls: The Return,Teo Konuralp,17-Sep-19,TV-14,80 min,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment."
81029737,Movie,A Home with A View,Herman Yau,30-Apr-19,TV-MA,92 min,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down."
81041391,Movie,A Land Imagined,Yeo Siew Hua,13-Apr-19,TV-MA,95 min,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.
80245356,Movie,A Remarkable Tale,Marina Seresesky,1-Nov-19,TV-MA,94 min,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them."
80185375,Movie,A Twelve Year Night,Álvaro Brechner,28-Dec-18,TV-MA,122 min,Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.
80208155,Movie,A Wrinkle in Time,Ava DuVernay,25-Sep-18,PG,110 min,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness."
81103033,Movie,A.M.I.,Rusty Nixon,1-Oct-19,TV-MA,77 min,"After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn."
80195967,Movie,A.X.L.,Oliver Daly,20-Mar-19,PG,99 min,"Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit."
81035105,Movie,Aalorukkam,V C Abhilash,15-Nov-18,TV-14,122 min,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
80993404,Movie,Adam Devine: Best Time of Our Lives,Jay Karas,18-Jun-19,TV-MA,59 min,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha."
80224536,Movie,ADAM SANDLER 100% FRESH,Steve Brill,23-Oct-18,TV-MA,74 min,"From ""Heroes"" to ""Ice Cream Ladies"" – Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way."
80209061,Movie,Adventures in Public School,Kyle Rideout,15-Aug-18,NR,86 min,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go."
80244311,Movie,After,Jenny Gage,9-Oct-19,PG-13,106 min,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott."
81047683,Movie,Agatha and the Truth of Murder,Terry Loane,31-Jan-19,TV-14,92 min,"In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage."
81008536,Movie,Aggretsuko: We Wish You a Metal Christmas,Rarecho,20-Dec-18,TV-PG,22 min,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control."
80191555,Movie,Agustín Aristarán: Soy Rada,Mariano Baez,16-Feb-18,TV-MA,60 min,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine."
80243408,Movie,Aiyaary,Neeraj Pandey,15-May-18,TV-14,158 min,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
81161834,Movie,Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,31-Dec-19,TV-MA,85 min,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
80202810,Movie,Alejandro Sanz: What I Was Is What I Am,"Gervasio Iglesias, Alexis Morante",18-Aug-18,TV-14,102 min,A retrospective look at the life and career of Grammy-award winning Spanish musician Alejandro Sanz.
80168189,Movie,Alex Strangelove,Craig Johnson,8-Jun-18,TV-MA,100 min,High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.
80244709,Movie,Ali's Wedding,Jeffrey Walker,8-Jun-18,TV-MA,110 min,"After telling a white lie that spins out of control, the son of an Iraqi-born cleric in Melbourne becomes torn between family duty and his own heart."
80232502,Movie,Alien Warfare,Jeremiah Jones,5-Apr-19,TV-MA,88 min,The U.S. Navy Seal team tackles a top-secret mission at a research center where scientists have mysteriously disappeared and another life form awaits.
80238080,Movie,Aliens Ate My Homework,Sean McNamara,6-Mar-18,PG,90 min,Tiny alien lawmen fly into Rod's bedroom and recruit him into helping them stop an intergalactic criminal – who's disguised as a very familiar human.
81019338,Movie,All About Nina,Eva Vives,18-Mar-19,R,101 min,"Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty."
81060040,Movie,All Light Will End,Chris Blake,2-Feb-19,TV-MA,84 min,"A horror novelist with a traumatic past returns to her childhood hometown, where she revisits her night terrors and loses sight of reality."
80220311,Movie,All the Devil's Men,Matthew Hope,15-May-19,R,100 min,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.
81006825,Movie,All the Freckles in the World,Yibrán Asuad,3-Jan-20,TV-14,90 min,Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.
81030855,Movie,Alles ist gut,Eva Trobisch,6-Jun-19,TV-MA,90 min,"A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body."
80202874,Movie,Always Be My Maybe,Nahnatchka Khan,31-May-19,PG-13,102 min,"Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds."
80096984,Movie,Amateur,Ryan Koo,6-Apr-18,TV-MA,96 min,"After he's recruited to an elite prep school, a 14-year-old basketball phenom is confronted by corruption and greed in amateur sports."
81076049,Movie,American Experience: The Island Murder,Mark Zwonitzer,1-May-19,TV-14,53 min,"In 1931, a young Navy wife tore apart Hawaii on racial lines after claiming she was raped by a gang of nonwhite islanders."
81017011,Movie,American Hangman,Wilson Coneybeare,30-Jul-19,TV-MA,99 min,"A judge’s kidnapping is streamed live on social media, as a vengeful loner puts him on trial for supposedly sending an innocent man to his death."
81088282,Movie,American Masters: Ted Williams,Nick Davis,1-Apr-19,TV-MA,55 min,"Baseball legend Ted Williams fights to become the greatest hitter of all time as he battles family, teammates, the press and even the fans."
81024100,Movie,American Son,Kenny Leon,1-Nov-19,TV-MA,90 min,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.
81092328,Movie,American Warfighter,Jerry G. Angelo,13-Sep-19,TV-MA,106 min,"A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything."
81037077,Movie,Amy Schumer Growing,Amy Schumer,19-Mar-19,TV-MA,61 min,"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere."
81024332,Movie,An Interview with God,Perry Lang,1-Mar-19,TV-PG,97 min,"After an assignment in a war zone, a journalist trying to put his life back together is granted an interview with someone claiming to be God."
81020531,Movie,Ana e Vitória,Matheus Souza,2-Nov-18,TV-14,116 min,"After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
80998427,Movie,And Breathe Normally,Ísold Uggadóttir,4-Jan-19,TV-14,102 min,An Icelandic single mom struggling with poverty and a Guinea-Bissauan asylum seeker facing deportation find their lives intertwined in unexpected ways.
81039381,Movie,Andhadhun,Sriram Raghavan,16-Dec-18,TV-14,137 min,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
80230507,Movie,Angela's Christmas,Damien O’Connor,30-Nov-18,TV-G,30 min,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.
81110498,Movie,ANIMA,Paul Thomas Anderson,27-Jun-19,TV-PG,15 min,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud."
81004470,Movie,Animal World,Han Yan,28-Sep-18,TV-MA,130 min,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
80239629,Movie,Animas,"Laura Alvea, José Ortuño",25-Jan-19,TV-MA,88 min,A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.
80195964,Movie,Anon,Andrew Niccol,4-May-18,TV-MA,100 min,"In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records."
80220813,Movie,Ant-Man and the Wasp,Peyton Reed,29-Jan-19,PG-13,118 min,"Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission."
80227677,Movie,Anthony Jeselnik: Fire in the Maternity Ward,Marcus Raboy,30-Apr-19,TV-MA,64 min,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York."
81060043,Movie,Antidote,Ken Barbet,14-Apr-19,TV-14,90 min,A tough-as-nails treasure hunter protects a humanitarian doctor as she tries to cure a supernatural disease caused by a mysterious witch.
80158148,Movie,Apostle,Gareth Evans,12-Oct-18,TV-MA,130 min,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island."
80191988,Movie,Arango y Sanint: Ríase el show,"Raúl Campos, Jan Suter",17-Jan-18,TV-MA,62 min,"Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera."
81065784,Movie,Are We Done Yet?,Khaled El Halafawy,1-Aug-19,TV-14,87 min,"When authorities arrest his young son, a taxi driver must convince the courts and rabid media that he's not the criminal they seek."
81148672,Movie,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,29-Oct-19,TV-MA,63 min,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes."
81154455,Movie,Article 15,Anubhav Sinha,6-Sep-19,TV-MA,125 min,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
81035731,Movie,Aruna & Her Palate,Edwin,1-Jan-20,TV-PG,106 min,"An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride."
81018239,Movie,Ascharyachakit!,Samit Kakkad,19-Dec-18,TV-MA,90 min,"Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
81024731,Movie,Asees,Rana Ranbir,1-Nov-18,TV-14,123 min,"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
81136744,Movie,Assimilate,John Murlowski,25-Oct-19,TV-14,94 min,A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.
81029400,Movie,At First Light,Jason Stone,27-Dec-18,TV-14,91 min,"After mysterious lights imbue her with extraordinary powers, a teenager goes on the run from authorities with the friend who harbors a crush on her."
81082007,Movie,Atlantics,Mati Diop,29-Nov-19,TV-14,106 min,"Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them."
81066244,Movie,Aurora,Yam Laranas,25-Apr-19,TV-14,98 min,A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies – until the dead come seeking shelter themselves.
80991316,Movie,Avengement,Jesse V. Johnson,17-Sep-19,TV-MA,88 min,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer."
80219127,Movie,Avengers: Infinity War,"Anthony Russo, Joe Russo",25-Dec-18,PG-13,150 min,Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.
81005266,Movie,Await Further Instructions,Johnny Kevorkian,2-Feb-19,TV-MA,91 min,"A family’s tense reunion turns terrifying when they get trapped in their home by an unknown force, and sinister commands begin appearing on their TV."
81218079,Movie,Awake,"Aleksandr Chernyaev, Fedor Lyass",24-Nov-19,TV-MA,92 min,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women."
81052266,Movie,Awe,Prasanth Varma,15-Feb-19,TV-MA,111 min,"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection."
81098589,Movie,Aziz Ansari: RIGHT NOW,Spike Jonze,9-Jul-19,TV-MA,65 min,"In a comedy special directed by Spike Jonze, Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate."
81044299,Movie,Baazaar,Gauravv K Chawla,13-Jan-19,TV-14,136 min,"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
81217745,Movie,Baby Dolls,Vijay Kumar Arora,1-Dec-19,TV-14,127 min,"When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother."
81108479,Movie,Back of the Net,Louise Alston,21-Dec-19,TV-G,86 min,An American science geek ready to spend a summer at sea accidentally ends up at an Australian soccer academy and is forced to kick it with the locals.
81053958,Movie,Backdraft 2,Gonzalo López-Gallego,14-May-19,R,102 min,"In this sequel to the 1991 film, a determined fire investigator recruits an imprisoned arsonist to help untangle a web of fire, murder and corruption."
81088786,Movie,Backfire,Dave Patten,5-Apr-19,TV-MA,97 min,"When two would-be robbers accidentally kill a made man, they find themselves on the run from the South Philly Italian mob."
80999643,Movie,Bad Seeds,Kheiron,21-Dec-18,TV-MA,105 min,"Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students."
81112446,Movie,Badla,Sujoy Ghosh,7-Aug-19,TV-14,117 min,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
81044103,Movie,Bathtubs Over Broadway,Dava Whisenant,9-May-19,PG-13,87 min,"A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession."
81002685,Movie,Battle,Katarina Launing,1-Dec-18,TV-MA,98 min,"After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael."
80232404,Movie,Battle Drone,Mitch Gould,1-Mar-18,TV-MA,94 min,"A team of mercenaries working with the CIA accepts an off-the-books mission in Chernobyl, where deadly human-controlled droids prepare an ambush."
80188579,Movie,Bayonet,Kyzza Terrazas,29-Mar-19,TV-MA,102 min,"Alone in Finland, a retired Mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring."
80216302,Movie,Beats,Chris Robinson,19-Jun-19,TV-MA,110 min,"On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor."
80993489,Movie,Being Napoleon,"Jesse Handsher, Olivier Roland",1-Aug-18,TV-14,88 min,"On the 200th anniversary of the Battle of Waterloo, thousands of enthusiasts reenact the epic clash. But there can only be one Napoleon."
